trips;car;workschl;size;dist;smsa;fulltime;adults;distnod;realinc;weekend
2;1;0.5;6;0.5949;1;1;4;1;0.7;1
3;0;0.666667;2;0.5949;1;2;2;1;1.8;0
0;0;0;2;0.5949;1;0;2;1;0.44;0
0;0;0;4;0.5949;1;0;4;1;0.44;0
1;1;1;5;0.5949;1;1;1;1;0.7;1
1;1;1;1;6.083;1;1;1;1;1.8;0
2;0;1;2;6.083;1;2;2;1;1.4;1
2;1;0;4;2.7697;1;2;2;4.5;1.4;1
1;0;0;6;2.7697;1;0;2;1;0.44;0
0;0;0;4;2.7697;1;0;1;1;0.44;0
0;0;0;1;6.6633;1;1;1;1;4.5;1
2;1;1;3;6.6633;1;2;2;1;6;0
1;0;0;2;6.6633;1;0;2;4.5;0.7;0
6;1;0.166667;5;7.2156;1;2;4;1;1.4;0
0;0;0;3;7.2156;1;1;3;1;1.8;0
2;1;0;5;7.2156;1;1;2;1;1.4;0
2;1;0;2;8.2541;1;0;2;1;0.7;0
0;0;0;1;8.2541;1;0;1;1;0.7;0
4;0;0.5;3;8.2541;1;1;2;1;0.7;0
3;1;0;4;8.2541;1;1;2;1;1.8;0
8;1;0;4;9.2228;1;1;2;4.5;1.8;0
2;1;0.5;6;15.4975;1;1;3;1;0.7;0
11;1;0.272727;5;26.3535;1;1;2;27.5;1.4167;1
10;1;0.1;5;26.3535;1;1;2;27.5;1;0
20;1;0.05;4;26.3535;1;1;4;27.5;2.5;1
6;1;0.666667;5;26.3535;1;1;4;27.5;2.5;0
15;1;0.0666667;4;26.3535;1;1;2;27.5;2.5;1
0;0;0;1;23.2895;1;0;1;1;0.2;0
0;1;0;3;14.6328;1;1;3;1;1.08;0
1;1;1;2;15.0957;1;1;2;1;1.8;0
5;1;0.6;4;14.6328;1;2;4;1;1.8;0
0;1;0;2;18.6766;1;2;2;33.5;8.5;1
4;1;0;2;18.6766;1;0;2;11;6;0
8;1;0;3;18.6766;1;1;2;1;6;0
4;1;0;2;18.6766;1;0;2;33.5;4.5;0
7;1;0.142857;5;24.2959;0;1;4;50;1.4;0
2;1;0.5;3;10.3209;1;1;2;1;4.5;0
2;1;0.5;3;2.6698;0;1;3;1;0.7;0
11;1;0.363636;3;2.6698;0;1;2;1;0.7;0
4;1;0;2;8.3781;0;1;2;15.5;1.08;1
6;1;0.166667;4;8.3781;0;1;2;11;2.4;1
7;1;0;3;8.3781;0;1;3;4.5;2.4;1
10;1;0.5;3;8.3781;0;3;3;21.5;2.4;0
2;0;1;2;4.1178;1;0;2;4.5;1.75;0
5;1;0.6;5;4.1178;1;0;2;1;1.1;0
6;1;0.166667;3;17.8475;0;1;3;50;1.08;0
2;1;0.5;1;17.8475;0;0;1;15.5;0.44;0
3;1;0;2;17.8475;0;2;2;1;1.08;1
6;1;0.5;5;17.8475;0;0;3;11;0.7;0
8;1;0.125;5;21.932;0;1;2;1;1.4;0
16;1;0.125;4;21.7715;0;1;2;1;1.8;0
7;1;0;2;21.7715;0;0;2;4.5;0.2;0
3;1;1;5;21.7715;0;2;3;1;1.08;0
10;1;0.8;4;21.7715;0;2;3;1;1.8;0
